elapsedMiliseconds,eventType,cloudName,cloudType,fileName,fileSizeInBytes,startTime,finishTime,url
6135,upload,awsjavaller,s3,new84,1048576,9/21/2018 2:24:18 AM,9/21/2018 2:24:24 AM,
6135,upload,awsjavaller,s3,new12,1048576,9/21/2018 2:24:18 AM,9/21/2018 2:24:24 AM,
6153,upload,awsjavaller,s3,new96,1048576,9/21/2018 2:24:18 AM,9/21/2018 2:24:24 AM,
6186,upload,awsjavaller,s3,new72,1048576,9/21/2018 2:24:18 AM,9/21/2018 2:24:24 AM,
6213,upload,awsjavaller,s3,new48,1048576,9/21/2018 2:24:18 AM,9/21/2018 2:24:24 AM,
7044,upload,awsjavaller,s3,new60,1048576,9/21/2018 2:24:18 AM,9/21/2018 2:24:25 AM,
7055,upload,awsjavaller,s3,new36,1048576,9/21/2018 2:24:18 AM,9/21/2018 2:24:25 AM,
8022,upload,awsjavaller,s3,new24,1048576,9/21/2018 2:24:18 AM,9/21/2018 2:24:26 AM,
2845,upload,awsjavaller,s3,new14,1048576,9/21/2018 2:24:24 AM,9/21/2018 2:24:27 AM,
8213,upload,awsjavaller,s3,new1,1048576,9/21/2018 2:24:19 AM,9/21/2018 2:24:27 AM,
9123,upload,awsjavaller,s3,new0,1048576,9/21/2018 2:24:18 AM,9/21/2018 2:24:27 AM,
2292,upload,awsjavaller,s3,new62,1048576,9/21/2018 2:24:25 AM,9/21/2018 2:24:28 AM,
3184,upload,awsjavaller,s3,new97,1048576,9/21/2018 2:24:24 AM,9/21/2018 2:24:28 AM,
1354,upload,awsjavaller,s3,new26,1048576,9/21/2018 2:24:26 AM,9/21/2018 2:24:28 AM,
2464,upload,awsjavaller,s3,new38,1048576,9/21/2018 2:24:25 AM,9/21/2018 2:24:28 AM,
3438,upload,awsjavaller,s3,new50,1048576,9/21/2018 2:24:24 AM,9/21/2018 2:24:28 AM,
3650,upload,awsjavaller,s3,new85,1048576,9/21/2018 2:24:24 AM,9/21/2018 2:24:28 AM,
3627,upload,awsjavaller,s3,new74,1048576,9/21/2018 2:24:24 AM,9/21/2018 2:24:28 AM,
8027,upload,awsjavaller,s3,new13,1048576,9/21/2018 2:24:20 AM,9/21/2018 2:24:28 AM,
954,upload,awsjavaller,s3,new87,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:28 AM,
750,upload,awsjavaller,s3,new63,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:28 AM,
843,upload,awsjavaller,s3,new98,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:28 AM,
7414,upload,awsjavaller,s3,new25,1048576,9/21/2018 2:24:21 AM,9/21/2018 2:24:29 AM,
7413,upload,awsjavaller,s3,new37,1048576,9/21/2018 2:24:21 AM,9/21/2018 2:24:29 AM,
872,upload,awsjavaller,s3,new39,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:29 AM,
6462,upload,awsjavaller,s3,new49,1048576,9/21/2018 2:24:22 AM,9/21/2018 2:24:29 AM,
771,upload,awsjavaller,s3,new51,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:29 AM,
1056,upload,awsjavaller,s3,new27,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:29 AM,
1260,upload,awsjavaller,s3,new75,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:29 AM,
2091,upload,awsjavaller,s3,new15,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:29 AM,
1396,upload,awsjavaller,s3,new86,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:29 AM,
6992,upload,awsjavaller,s3,new89,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:35 AM,
8662,upload,awsjavaller,s3,new42,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:37 AM,
10000,upload,awsjavaller,s3,new99,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:37 AM,
9963,upload,awsjavaller,s3,new29,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:37 AM,
9241,upload,awsjavaller,s3,new18,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:37 AM,
8890,upload,awsjavaller,s3,new43,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:38 AM,
2252,upload,awsjavaller,s3,new90,1048576,9/21/2018 2:24:35 AM,9/21/2018 2:24:38 AM,
8955,upload,awsjavaller,s3,new78,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:38 AM,
9203,upload,awsjavaller,s3,new9,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:38 AM,
6537,upload,awsjavaller,s3,new35,1048576,9/21/2018 2:24:31 AM,9/21/2018 2:24:38 AM,
9203,upload,awsjavaller,s3,new21,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:38 AM,
13463,upload,awsjavaller,s3,new73,1048576,9/21/2018 2:24:24 AM,9/21/2018 2:24:38 AM,
10355,upload,awsjavaller,s3,new88,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:38 AM,
5691,upload,awsjavaller,s3,new57,1048576,9/21/2018 2:24:32 AM,9/21/2018 2:24:38 AM,
10486,upload,awsjavaller,s3,new16,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:38 AM,
251,upload,awsjavaller,s3,new10,1048576,9/21/2018 2:24:38 AM,9/21/2018 2:24:38 AM,
10555,upload,awsjavaller,s3,new64,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:38 AM,
9419,upload,awsjavaller,s3,new23,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:38 AM,
9499,upload,awsjavaller,s3,new70,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:38 AM,
9476,upload,awsjavaller,s3,new55,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:38 AM,
9652,upload,awsjavaller,s3,new91,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:38 AM,
9566,upload,awsjavaller,s3,new33,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:38 AM,
10769,upload,awsjavaller,s3,new40,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:38 AM,
10801,upload,awsjavaller,s3,new3,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:38 AM,
9647,upload,awsjavaller,s3,new30,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:38 AM,
396,upload,awsjavaller,s3,new58,1048576,9/21/2018 2:24:38 AM,9/21/2018 2:24:38 AM,
10792,upload,awsjavaller,s3,new17,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:38 AM,
10835,upload,awsjavaller,s3,new5,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:38 AM,
9685,upload,awsjavaller,s3,new22,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:38 AM,
8114,upload,awsjavaller,s3,new93,1048576,9/21/2018 2:24:30 AM,9/21/2018 2:24:38 AM,
10926,upload,awsjavaller,s3,new2,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:38 AM,
10886,upload,awsjavaller,s3,new7,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:38 AM,
392,upload,awsjavaller,s3,new11,1048576,9/21/2018 2:24:38 AM,9/21/2018 2:24:38 AM,
10035,upload,awsjavaller,s3,new66,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:38 AM,
9809,upload,awsjavaller,s3,new92,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:38 AM,
10955,upload,awsjavaller,s3,new65,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:38 AM,
9850,upload,awsjavaller,s3,new31,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:38 AM,
14189,upload,awsjavaller,s3,new61,1048576,9/21/2018 2:24:24 AM,9/21/2018 2:24:38 AM,
5329,upload,awsjavaller,s3,new71,1048576,9/21/2018 2:24:33 AM,9/21/2018 2:24:39 AM,
993,upload,awsjavaller,s3,new44,1048576,9/21/2018 2:24:38 AM,9/21/2018 2:24:39 AM,
284,upload,awsjavaller,s3,new4,1048576,9/21/2018 2:24:38 AM,9/21/2018 2:24:39 AM,
340,upload,awsjavaller,s3,new56,1048576,9/21/2018 2:24:38 AM,9/21/2018 2:24:39 AM,
11049,upload,awsjavaller,s3,new8,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:39 AM,
11037,upload,awsjavaller,s3,new41,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:39 AM,
11123,upload,awsjavaller,s3,new28,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:39 AM,
11053,upload,awsjavaller,s3,new77,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:39 AM,
319,upload,awsjavaller,s3,new59,1048576,9/21/2018 2:24:38 AM,9/21/2018 2:24:39 AM,
10027,upload,awsjavaller,s3,new20,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:39 AM,
1336,upload,awsjavaller,s3,new83,1048576,9/21/2018 2:24:37 AM,9/21/2018 2:24:39 AM,
11283,upload,awsjavaller,s3,new52,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:39 AM,
11226,upload,awsjavaller,s3,new53,1048576,9/21/2018 2:24:28 AM,9/21/2018 2:24:39 AM,
1253,upload,awsjavaller,s3,new19,1048576,9/21/2018 2:24:38 AM,9/21/2018 2:24:39 AM,
433,upload,awsjavaller,s3,new94,1048576,9/21/2018 2:24:38 AM,9/21/2018 2:24:39 AM,
609,upload,awsjavaller,s3,new6,1048576,9/21/2018 2:24:38 AM,9/21/2018 2:24:39 AM,
10553,upload,awsjavaller,s3,new54,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:39 AM,
864,upload,awsjavaller,s3,new32,1048576,9/21/2018 2:24:38 AM,9/21/2018 2:24:39 AM,
10720,upload,awsjavaller,s3,new34,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:39 AM,
10689,upload,awsjavaller,s3,new45,1048576,9/21/2018 2:24:29 AM,9/21/2018 2:24:39 AM,
641,upload,awsjavaller,s3,new95,1048576,9/21/2018 2:24:39 AM,9/21/2018 2:24:39 AM,
5308,upload,awsjavaller,s3,new79,1048576,9/21/2018 2:24:34 AM,9/21/2018 2:24:39 AM,
12183,upload,awsjavaller,s3,new76,1048576,9/21/2018 2:24:27 AM,9/21/2018 2:24:40 AM,
355,upload,awsjavaller,s3,new46,1048576,9/21/2018 2:24:39 AM,9/21/2018 2:24:40 AM,
1536,upload,awsjavaller,s3,new67,1048576,9/21/2018 2:24:38 AM,9/21/2018 2:24:40 AM,
295,upload,awsjavaller,s3,new47,1048576,9/21/2018 2:24:40 AM,9/21/2018 2:24:40 AM,
961,upload,awsjavaller,s3,new80,1048576,9/21/2018 2:24:39 AM,9/21/2018 2:24:40 AM,
887,upload,awsjavaller,s3,new68,1048576,9/21/2018 2:24:40 AM,9/21/2018 2:24:41 AM,
740,upload,awsjavaller,s3,new69,1048576,9/21/2018 2:24:41 AM,9/21/2018 2:24:42 AM,
1262,upload,awsjavaller,s3,new81,1048576,9/21/2018 2:24:40 AM,9/21/2018 2:24:42 AM,
630,upload,awsjavaller,s3,new82,1048576,9/21/2018 2:24:42 AM,9/21/2018 2:24:42 AM,
4677,upload,javallergcs,gcs,new16,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:47 AM,
4993,upload,javallergcs,gcs,new65,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:48 AM,
422,upload,javallergcs,gcs,new20,1048576,9/21/2018 2:24:47 AM,9/21/2018 2:24:48 AM,
5336,upload,javallergcs,gcs,new76,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:48 AM,
431,upload,javallergcs,gcs,new21,1048576,9/21/2018 2:24:48 AM,9/21/2018 2:24:48 AM,
2390,upload,javallergcs,gcs,new91,1048576,9/21/2018 2:24:46 AM,9/21/2018 2:24:48 AM,
5589,upload,javallergcs,gcs,new15,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:48 AM,
5594,upload,javallergcs,gcs,new5,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:48 AM,
499,upload,javallergcs,gcs,new22,1048576,9/21/2018 2:24:48 AM,9/21/2018 2:24:49 AM,
475,upload,javallergcs,gcs,new23,1048576,9/21/2018 2:24:49 AM,9/21/2018 2:24:49 AM,
6611,upload,javallergcs,gcs,new41,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:49 AM,
6663,upload,javallergcs,gcs,new4,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:49 AM,
6704,upload,javallergcs,gcs,new29,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
6716,upload,javallergcs,gcs,new66,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
6860,upload,javallergcs,gcs,new36,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
6922,upload,javallergcs,gcs,new0,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
6975,upload,javallergcs,gcs,new55,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
526,upload,javallergcs,gcs,new45,1048576,9/21/2018 2:24:49 AM,9/21/2018 2:24:50 AM,
7122,upload,javallergcs,gcs,new73,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
7143,upload,javallergcs,gcs,new52,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
7181,upload,javallergcs,gcs,new30,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
7219,upload,javallergcs,gcs,new60,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
7194,upload,javallergcs,gcs,new9,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
7199,upload,javallergcs,gcs,new40,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
7212,upload,javallergcs,gcs,new54,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
7213,upload,javallergcs,gcs,new31,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
7215,upload,javallergcs,gcs,new18,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
7220,upload,javallergcs,gcs,new87,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
7217,upload,javallergcs,gcs,new8,1048576,9/21/2018 2:24:43 AM,9/21/2018 2:24:50 AM,
